TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RBRD11;45,04;0,300000;6,27;71,18;0,64;76.846,27;3,02;-31,75;-20,75;131.808.335,67;10.677,00;Passiva;1.851.786,00
RBRF11;73,92;0,600000;9,71;84,02;0,88;2.418.261,54;2,69;-6,97;-10,07;1.149.405.774,49;81.345,00;Ativa;13.680.770,00
REIT11;600,00;2,235035;8,50;487,52;1,23;1.500,00;41,21;;;12.817.365,66;62,00;Ativa;26.291,00
RELG11;72,80;0,700000;12,22;121,38;0,60;262.021,44;0,71;;;161.992.184,99;5.208,00;Ativa;1.334.562,00
RNDP11;380,00;4,760000;13,16;675,09;0,56;66.474,19;43,06;-4,01;-26,53;72.559.446,44;966,00;Ativa;107.481,00
JPPA11;103,84;1,550000;13,45;106,41;0,98;146.195,05;4,19;;;64.270.719,49;1.244,00;Ativa;603.964,00
JPPC11;136,04;7,000000;73,68;335,84;0,41;136,00;12,83;;;18.471.143,49;86,00;Ativa;55.000,00
JRDM11;75,60;0,463822;5,27;87,42;0,86;260.113,02;2,34;-11,61;-2,53;220.547.400,56;4.696,00;Passiva;2.522.968,00
RBRY11;104,81;1,300000;11,44;103,35;1,01;715.773,51;3,29;11,82;;351.080.583,18;13.318,00;Ativa;3.397.153,00
RECT11;64,26;0,501800;9,99;97,17;0,66;746.660,15;0,31;;-13,81;794.780.337,18;79.699,00;Ativa;8.179.347,00
RVBI11;79,25;0,750000;11,24;87,19;0,91;264.263,20;4,32;;;125.552.601,37;11.505,00;Ativa;1.440.000,00
SHPH11;827,00;3,540000;4,32;887,40;0,93;53.184,39;0,64;-6,00;-3,49;540.384.470,89;2.834,00;Passiva;608.950,00
SIGR11;0,00;;0,00;101,06;;;2,08;;;30.577.631,07;50,00;Ativa;302.580,00
LOFT11B;29,90;0,201705;0,00;49,72;0,60;;23,92;;;97.578.643,07;1,00;Ativa;1.962.500,00
MMPD11;0,00;;0,00;97,05;;;101,57;;;51.434.187,78;48,00;Ativa;530.000,00
PVBI11;94,34;0,560000;7,09;99,14;0,95;2.460.238,34;0,49;;;995.275.932,69;63.919,00;Ativa;10.039.493,00
QAGR11;48,30;0,385000;9,53;59,69;0,81;449.652,27;1,08;;;300.831.716,41;25.741,00;Ativa;5.040.000,00
