TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
LUXM3,0,TREVISA,,"0,00","0,00","0,00","31,59","18,05","10,96","0,00","10,19","0,10","0,03","0,00","0,00","0,00","0,96","14,75","9,21","13,85","0,62","0,38","0,84","7,08","9,86",,"18,77","2,77","0,00","239.113.980,00"
LUXM4,82.510000000000005,TREVISA,"0,84","29,80","4,39","2,74","31,59","18,05","10,96","18,09","10,19","0,10","0,03","3,26","-339,72","-3,41","0,96","14,75","9,21","13,85","0,62","0,38","0,84","7,08","9,86","38.739,55","18,77","2,77","0,42","239.113.980,00"
LVTC3,7.9100000000000001,WDC NETWORKS,"2,20","7,06","0,81","0,34","27,65","12,61","6,79","3,80","3,52","-0,29","-0,06","0,48","1,71","-0,85","1,51","11,51","4,86","17,90","0,42","0,58","0,71",,,"6.098.829,96","9,73","1,12","2,67","511.484.828,33"
LWSA3,6.2599999999999998,LOCAWEB,,"-234,61","1,26","0,81","45,55","0,00","-1,97",,,,"-0,50","4,62","2,51","-1,52","3,18","-0,54","-0,34",,"0,64","0,36","0,17","23,75",,"107.119.432,79","4,97","-0,03","1,30","3.694.948.523,68"
MAPT3,37,CEMEPE,,"-191,01","-5,74","43,98",,,,"-192,09","-134,99","0,00",,,"-8.499,78","-43,98","0,00","-3,00","-23,03","2,99","-7,66","8,66","0,00",,,,"-6,45","-0,19","-40,59","23.892.900,60"
MAPT4,15.24,CEMEPE,,"-78,67","-2,36","18,12",,,,"-79,12","-134,99","0,00",,,"-3.500,99","-18,12","0,00","-3,00","-23,03","2,99","-7,66","8,66","0,00",,,"1.707,67","-6,45","-0,19","-16,72","23.892.900,60"
MATD3,10.34,MATER DEI,"0,87","26,92","2,35","0,97","39,51","23,65","14,34","16,32","15,63","-0,69","-0,10","3,86","2,82","-1,69","5,05","8,72","3,59","6,03","0,41","0,59","0,25",,,"6.657.484,29","4,40","0,38",,"3.953.290.349,14"
MBLY3,4.3499999999999996,MOBLY,,"-5,46","0,72","0,46","39,79","-10,76","-11,76","-5,97","-4,93","1,04","-0,13","0,64","0,96","-1,40","3,58","-13,23","-8,49","-9,33","0,64","0,36","0,72",,,"5.238.191,96","6,02","-0,80","-0,05","463.231.082,40"
MDIA3,22.629999999999999,M.DIASBRANCO,"8,60","15,19","1,09","0,72","28,18","5,08","6,46","19,33","19,82","0,49","0,03","0,98","2,46","-1,23","3,34","7,18","4,74","3,06","0,66","0,34","0,73","7,96","-8,43","37.821.153,21","20,74","1,49","-0,45","7.671.570.000,00"
MDNE3,5.9100000000000001,MOURA DUBEUX,,"6,05","0,47","0,19","36,43","10,04","13,39","8,06","7,10","-0,96","-0,06","0,81","0,89","-0,34","1,85","7,74","3,08","4,04","0,40","0,60","0,23","0,55",,"1.642.496,92","12,62","0,98","-0,03","501.814.406,25"
MEAL3,2.3100000000000001,IMC S/A,,"-8,22","0,59","0,22","31,78","-0,17","-4,34","-204,68","-289,74","-85,06","0,24","0,36","3,97","-0,29","1,34","-7,14","-2,73","-0,40","0,38","0,62","0,63","3,75",,"4.955.545,08","3,93","-0,28","0,10","661.513.614,30"
MEGA3,10.07,OMEGAENERGIA,,"-59,81","1,36","0,44","19,80","14,46","-17,96","74,28","140,76","66,48","1,22","10,74","12,26","-0,53","1,26","-2,28","-0,73","0,62","0,32","0,68","0,04",,,"33.377.165,33","7,39","-0,17",,"5.735.855.565,76"
MELK3,3.75,MELNICK,"9,81","9,40","0,65","0,40","23,97","7,89","10,75","12,80","6,43","-6,37","-0,32","1,01","0,76","-2,98","2,54","6,92","4,25","3,91","0,61","0,39","0,40",,,"1.001.445,58","5,77","0,40","0,10","779.885.028,75"
MERC3,25,MERC FINANC,,"34,08","1,75","1,50","78,11","16,84","27,29","55,23","39,85",,,"9,30","6,05","-2,21","4,47","5,14","4,41",,"0,86","0,14","0,16","-28,34","83,50","7.560,00","14,28","0,73","0,67","324.884.735,65"
MERC4,8.9900000000000002,MERC FINANC,"5,33","12,26","0,63","0,54","78,11","16,84","27,29","19,86","39,85",,,"3,35","2,17","-0,79","4,47","5,14","4,41",,"0,86","0,14","0,16","-28,34","83,50","6.769,07","14,28","0,73","0,24","324.884.735,65"
MGEL3,19.129999999999999,MANGELS INDL,,"0,74","-0,44","0,19","15,15","22,38","17,30","0,57","4,04","3,54",,"0,13","0,57","-0,42","2,46","-59,44","25,30","31,05","-0,43","1,43","1,46","15,08","146,40",,"-43,44","25,82","0,00","97.701.273,44"
MGEL4,15.65,MANGELS INDL,,"0,61","-0,36","0,15","15,15","22,38","17,30","0,47","4,04","3,54",,"0,10","0,47","-0,34","2,46","-59,44","25,30","31,05","-0,43","1,43","1,46","15,08","146,40","26.870,48","-43,44","25,82","0,00","97.701.273,44"
MGLU3,4.25,MAGAZ LUIZA,"0,36","48,56","2,55","0,75","24,06","1,33","1,67","60,95","66,62","5,67","0,24","0,81","3,10","-2,07","1,61","5,25","1,54","-1,87","0,29","0,71","0,92","29,98","46,82","627.749.838,83","1,67","0,09","0,96","28.682.939.104,00"
MILS3,6.8200000000000003,MILLS,"3,53","16,37","1,53","1,16","54,60","19,88","13,88","11,43","11,34","-0,09","-0,01","2,27","5,69","-1,73","2,61","9,38","7,07","8,33","0,75","0,25","0,51","13,23",,"9.290.096,92","4,44","0,42","-0,01","1.677.524.647,92"
MLAS3,4.8200000000000003,MULTILASER,"2,55","5,11","0,99","0,59","27,99","16,06","15,98","5,08","4,61","-0,47","-0,09","0,82","1,08","-4,06","2,79","19,33","11,60","15,44","0,60","0,40","0,73",,,"11.462.199,83","4,89","0,94","0,07","3.954.999.064,50"
MMXM3,14,MMX MINER,,"-2,17","-0,11","0,71",,,,"-181,31","-719,57","-538,27",,,"-0,10","-0,75","0,01","-4,97","-32,75","0,28","-6,58","7,60","0,00","-6,95",,"6.294.058,38","-129,88","-6,46","0,03","90.834.562,00"
MNDL3,20.5,MUNDIAL,,"-0,09","-0,07","0,04","36,60","13,82","-82,86","0,53","3,62","3,08",,"0,07","-0,04","-0,06","0,26","-79,09","-45,88","-19,05","-0,58","1,58","0,55","10,41",,"91.909,95","-291,91","-230,88","0,00","50.845.330,00"
MNPR3,7.5800000000000001,MINUPAR,,"1,59","-0,16","0,20","25,05","17,37","10,57","0,97","0,96","-0,01",,"0,17","-0,14","-0,39","0,25","-9,81","12,65","-13,57","-1,29","2,29","1,20","10,24",,"105.342,83","-48,47","4,76","0,02","53.818.758,00"
MOAR3,436,MONT ARANHA,"11,05","9,03","5,79","2,48","14,31","34.485,49","40.093,76","10,50","10,79","0,29","0,16","3.621,38","8,51","-4,12","3,69","64,06","27,42","25,46","0,43","0,57","0,00","-16,12","22,87","316.020,00","75,36","48,27","0,00","5.341.532.356,00"
