TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
NORD3,9.3599999999999994,NORDON MET,,"-8,07","-0,42","3,51","90,73","-38,84","-386,85","-80,39","-129,47","-49,08",,"31,22","-1,34","-3,83","0,03","-5,20","-43,48","0,70","-8,36","9,36","0,11",,,"2.073,00","-22,30","-1,16","-0,01","61.977.108,96"
NRTQ3,0,NORTCQUIMICA,,"0,00","0,00","0,00","29,39","17,02","13,79","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4,08","19,53","13,41","17,04","0,69","0,31","0,97","13,67","18,27",,"15,50","3,03","0,00","0,00"
NTCO3,16.309999999999999,GRUPO NATURA,"0,81","40,22","0,95","0,43","65,01","2,19","1,44","26,44","35,04","8,60","0,31","0,58","48,60","-0,60","1,03","2,35","1,07","-0,57","0,46","0,54","0,75","38,39","13,55","343.941.706,71","17,25","0,41","0,01","22.523.250.332,52"
NUTR3,250,NUTRIPLANT,,"4,78","1,39","0,39","15,98","9,26","5,21","2,69","3,63","0,94","0,49","0,25","1,13","-1,06","2,24","29,15","8,22","27,86","0,28","0,72","1,58","33,43",,"25.000,00","179,41","52,30","0,05","31.986.000,00"
ODER4,857.14999999999998,ODERICH,"0,15","100,68","26,99","11,63","31,91","21,50","14,56","68,19","69,59","1,40","0,55","14,66","42,81","-41,40","1,61","26,81","11,55","17,55","0,43","0,57","0,79","11,24","16,77",,"31,76","8,51","-5,27","9.674.742.907,90"
ODPV3,10.199999999999999,ODONTOPREV,"4,33","13,39","4,77","2,88","61,98","30,51","23,49","10,31","9,71","-0,60","-0,28","3,15","-218,36","-4,08","0,96","35,65","21,52","30,59","0,60","0,39","0,92","6,18","14,93","14.802.029,17","2,14","0,76","1,37","5.798.351.190,60"
OFSA3,21.710000000000001,OUROFINO S/A,"2,48","10,28","1,83","0,92","49,41","15,59","12,59","8,30","9,87","1,57","0,34","1,29","2,42","-2,53","2,97","17,77","8,97","12,64","0,51","0,43","0,71","14,66",,"325.504,46","11,89","2,11","0,38","1.171.232.920,26"
OGXP3,1.6299999999999999,-,,"-2,15","-0,98","0,92",,,,"-9,26","-9,26","0,00",,,"-0,98",,"0,51","-45,53","-43,02","10,57","-0,94","1,94","0,00",,,,"-1,67","-0,76","0,02","52.747.073,84"
OIBR3,0.76000000000000001,OI,,"-0,59","-6,94","0,06","5,33","-19,43","-81,23","-2,46","-17,18","-14,67",,"0,48","0,25","-0,16","1,76","-1.177,93","-10,93","-12,63","-0,01","1,01","0,13","-16,61",,"62.799.804,71","-0,11","-1,29","0,03","5.112.944.813,44"
OIBR4,1.3600000000000001,OI,,"-1,05","-12,42","0,12","5,33","-19,43","-81,23","-4,41","-17,18","-14,67",,"0,86","0,45","-0,28","1,76","-1.177,93","-10,93","-12,63","-0,01","1,01","0,13","-16,61",,"1.452.564,92","-0,11","-1,29","0,06","5.112.944.813,44"
OMGE3,27.57,-,,"18,04","1,32","0,52","34,06","67,54","17,30","4,62","8,67","4,06","1,16","3,12","8,00","-0,60","1,87","7,31","2,88","10,02","0,39","0,61","0,17","55,45","99,31","49.236.324,19","20,91","1,53","0,03","5.521.562.588,85"
ONCO3,7.0700000000000003,ONCOCLINICAS,,"-74,67","1,52","0,58","32,15","6,56","-1,74","19,76","22,11","2,35","0,18","1,30","2,08","-1,11","2,41","-2,03","-0,78","1,95","0,38","0,62","0,45",,,"13.928.814,46","4,65","-0,09","1,06","3.502.179.101,61"
OPCT3,2.6600000000000001,OCEANPACT,,"-11,23","0,59","0,21","17,79","3,53","-5,37","17,09","40,22","23,13","0,80","0,60","1,18","-0,32","2,20","-5,28","-1,91","1,04","0,36","0,64","0,36",,,"3.136.623,00","4,49","-0,24","-0,10","531.892.413,64"
ORVR3,33.420000000000002,ORIZON,,"-38,52","6,47","1,98","41,08","18,30","-14,24","29,99","36,93","6,94","1,50","5,49","5,77","-3,96","3,19","-16,79","-5,14","4,72","0,31","0,69","0,36",,,"19.767.667,04","5,17","-0,87","0,08","2.389.528.997,40"
OSXB3,6.1200000000000001,OSX BRASIL,,"0,16","0,00","0,01","90,15","3.158,36","464,14","0,02","5,72","5,70",,"0,73","-0,03","-0,01","0,02","-2,30","5,49","-90,90","-2,39","3,39","0,01","89,07",,"51.782,63","-1.695,32","38,93","0,00","19.265.992,56"
PARD3,18.149999999999999,IHPARDINI,"1,81","11,13","2,72","1,03","31,01","18,08","10,75","6,62","6,80","0,18","0,07","1,20","70,17","-1,53","1,05","24,46","9,24","23,04","0,38","0,62","0,86","17,16","15,74","3.136.360,21","6,67","1,63","0,16","2.377.261.499,25"
PATI3,77.5,PANATLANTICA,"3,76","6,32","2,17","0,93","17,97","15,58","10,99","4,46","4,77","0,36","0,17","0,70","1,55","-6,89","3,26","34,34","14,73","16,67","0,43","0,57","1,34","31,30","81,76","44.765,00","35,70","12,26","0,10","1.834.027.314,58"
PATI4,57.280000000000001,PANATLANTICA,"5,08","4,67","1,60","0,69","17,97","15,58","10,99","3,30","4,77","0,36","0,17","0,51","1,15","-5,09","3,26","34,34","14,73","16,67","0,43","0,57","1,34","31,30","81,76","19.834,29","35,70","12,26","0,08","1.834.027.314,58"
PCAR3,20.800000000000001,P.ACUCAR-CBD,"1,70","2,68","0,39","0,13","25,18","3,15","4,27","3,64","6,71","3,07","0,33","0,11","4,11","-0,18","1,11","14,62","4,67","3,96","0,32","0,62","1,09","4,35",,"57.038.507,25","53,01","7,75","-0,19","5.604.670.302,40"
PCAR4,72.109999999999999,P.ACUCAR-CBD,,"9,31","1,36","0,43","25,18","3,15","4,27","12,63","6,71","3,07","0,33","0,40","14,26","-0,63","1,11","14,62","4,67","3,96","0,32","0,62","1,09","4,35",,,"53,01","7,75","-0,67","5.604.670.302,40"
PDGR3,1.3,PDG REALT,,"-0,57","-0,01","0,06","19,23","-81,42","-29,39","-0,21","-3,11","-2,91",,"0,17","-0,04","-0,27","0,34","-2,44","-9,98","8,85","-4,09","5,09","0,34","11,86",,"1.501.767,88","-92,85","-2,27","0,01","72.973.494,10"
PDTC3,3.9900000000000002,PADTEC,,"12,25","2,44","0,73","35,67","16,10","7,43","5,66","6,02","0,37","0,16","0,91","2,02","-3,04","1,90","19,91","5,94","19,72","0,30","0,70","0,80","225,48","-24,61","318.948,50","1,64","0,33","0,25","313.014.618,21"
PEAB3,62,PAR AL BAHIA,"20,25","5,90","1,20","1,05","61,75","562,89","450,72","4,72","3,70","-1,52","-0,39","26,57","2,62","-1,83","16,04","20,42","17,82","17,81","0,87","0,13","0,04","-37,48","14,99","18.605,00","51,50","10,52","-0,08","880.244.043,00"
PEAB4,75,PAR AL BAHIA,"18,41","7,13","1,46","1,27","61,75","562,89","450,72","5,71","3,70","-1,52","-0,39","32,14","3,17","-2,22","16,04","20,42","17,82","17,81","0,87","0,13","0,04","-37,48","14,99","13.018,00","51,50","10,52","-0,10","880.244.043,00"
PETR3,35.719999999999999,PETROBRAS,"21,84","3,11","1,07","0,47","49,27","47,69","29,53","1,92","2,64","0,78","0,44","0,92","6,72","-0,58","1,53","34,56","15,03","24,67","0,43","0,56","0,51","9,88",,"539.420.284,21","33,29","11,50","0,02","450.543.812.672,60"
PETR4,32.969999999999999,PETROBRAS,"23,67","2,87","0,99","0,43","49,27","47,69","29,53","1,77","2,64","0,78","0,44","0,85","6,21","-0,54","1,53","34,56","15,03","24,67","0,43","0,56","0,51","9,88",,"2.338.908.969,92","33,29","11,50","0,02","450.543.812.672,60"
PETZ3,13.24,PETZ,"0,34","87,31","3,44","1,78","48,38","6,98","3,06","38,31","36,25","-2,06","-0,19","2,68","9,96","-2,81","1,95","3,94","2,04","6,96","0,52","0,48","0,66",,,"145.201.021,58","3,85","0,15","2,26","6.089.608.181,80"
PFRM3,3.8700000000000001,PROFARMA,"6,99","6,13","0,32","0,12","14,15","2,04","1,22","3,67","6,50","2,83","0,25","0,07","0,55","-0,33","1,50","5,30","1,94","4,93","0,37","0,63","1,59","9,44",,"603.147,71","11,92","0,63","0,12","479.155.431,51"
PGMN3,6.8600000000000003,PAGUE MENOS,,"21,18","1,44","0,47","32,06","4,62","1,86","8,52","10,19","1,66","0,28","0,39","2,58","-0,98","1,54","6,81","2,22","10,72","0,33","0,67","1,19","6,32","28,07","7.238.525,00","4,76","0,32","2,18","3.044.338.085,32"
PINE3,0,PINE,,"0,00","0,00","0,00","16,63","-0,64","0,59","0,00","-14,65",,,"0,00","0,00","0,00","0,58","0,76","0,04",,"0,05","0,95","0,06","9,53",,,"5,26","0,04","0,00","92.902.300,16"
PINE4,1.28,PINE,,"32,22","0,24","0,01","16,63","-0,64","0,59","-29,91","-14,65",,,"0,19","-0,07","-0,02","0,58","0,76","0,04",,"0,05","0,95","0,06","9,53",,"259.763,25","5,26","0,04","-0,29","92.902.300,16"
PLAS3,8.3000000000000007,PLASCAR PART,,"-0,84","-0,33","0,17","7,56","-6,67","-19,95","-2,52","-6,98","-4,46",,"0,17","-0,40","-0,25","0,44","-39,25","-19,76","35,02","-0,50","1,50","0,99","11,76",,"7.302,55","-25,07","-9,84","-0,19","103.130.969,40"
PLPL3,2.6600000000000001,PLANOEPLANO,"6,06","4,02","1,71","0,43","31,21","12,88","10,63","3,32","4,02","0,70","0,36","0,43","0,60","-4,37","4,78","42,58","10,65","18,94","0,25","0,75","1,00",,,"2.472.833,75","1,55","0,66","1,85","543.320.960,00"
PMAM3,7.2199999999999998,PARANAPANEMA,,"-1,37","-0,41","0,11","0,88","-7,29","-5,43","-1,02","-9,87","-8,85",,"0,07","-1,83","-0,16","0,84","-29,88","-7,97","-15,92","-0,27","1,27","1,47","0,55",,"1.390.333,50","-17,67","-5,28","0,02","313.375.789,78"
PNVL3,10.9,DIMED,"1,60","20,64","1,57","0,69","30,65","3,15","2,46","16,14","20,88","4,74","0,46","0,51","2,83","-1,66","1,71","7,59","3,34","5,63","0,44","0,56","1,35","8,67","8,40","6.883.497,63","6,96","0,53","0,50","1.639.114.542,90"
PNVL4,18.620000000000001,DIMED,"0,21","35,25","2,68","1,18","30,65","3,15","2,46","27,58","20,88","4,74","0,46","0,87","4,83","-2,84","1,71","7,59","3,34","5,63","0,44","0,56","1,35","8,67","8,40","83.188,67","6,96","0,53","0,85","1.639.114.542,90"
POMO3,2.3100000000000001,MARCOPOLO,"4,63","4,56","0,75","0,33","10,16","7,05","13,23","8,57","13,91","4,42","0,39","0,60","1,41","-0,69","1,79","16,41","7,16","3,73","0,44","0,56","0,54","6,33","16,92","337.896,83","3,08","0,51","0,01","2.423.376.741,24"
POMO4,2.7000000000000002,MARCOPOLO,"3,96","5,33","0,88","0,38","10,16","7,05","13,23","10,01","13,91","4,42","0,39","0,71","1,64","-0,81","1,79","16,41","7,16","3,73","0,44","0,56","0,54","6,33","16,92","13.588.558,92","3,08","0,51","0,01","2.423.376.741,24"
PORT3,55.299999999999997,WILSON SONS,"4,85","18,78","1,71","0,71","45,50","24,67","10,06","7,65","11,91","4,26","0,95","1,89","28,27","-0,84","1,19","9,13","3,76","7,59","0,41","0,59","0,37","6,17","-5,97","3.401.448,58","32,25","2,95","0,21","4.038.122.130,00"
POSI3,7.0999999999999996,POSITIVO TEC,"4,79","5,03","0,85","0,27","22,84","9,01","5,95","3,32","5,11","1,79","0,46","0,30","0,85","-1,59","1,61","16,95","5,33","14,30","0,31","0,69","0,90","14,02","86,66","19.631.013,38","8,33","1,41","1,03","1.006.780.000,00"
POWE3,10.9,-,,"23,92","0,99","0,38","6,82","3,52","2,59","17,55","10,60","-6,96","-0,39","0,62","6,57","-0,74","1,13","4,13","1,58","3,81","0,38","0,62","0,61",,,"5.388.846,38","11,02","0,46","-1,77","977.237.930,40"
PPAR3,14.6,POLPAR,,"-54,02","0,02","0,01",,,,"-6,97","8,13","15,10","-0,04",,"0,44","-0,01","2.474,00","-0,04","-0,03","-0,29","0,71","0,29","0,00",,,,"724,23","-0,27","0,68","1.080.400,00"
PPLA11,6.8700000000000001,PPLA,,"-920,80","1.757,89","34,22",,,,"-920,80","-920,80",,,,,"-34,22",,"-190,91","-3,72",,"0,02","0,98","0,00",,,"1.215,41","0,00","-0,01","9,26","19.336.755,42"
PRIO3,26.5,PETRORIO,,"9,48","3,48","1,82","59,99","52,28","46,82","8,49","8,26","-0,23","-0,09","4,44","3,96","-3,86","7,52","36,71","19,19","23,73","0,52","0,48","0,41","61,68","59,16","471.141.465,58","7,62","2,80","0,02","23.390.129.202,50"
PRNR3,6.54,PRINER,"1,43","17,55","1,11","0,68","16,27","4,73","3,35","12,42","11,95","-0,47","-0,04","0,59","2,41","-1,57","1,99","6,33","3,87","6,35","0,61","0,39","1,16","16,24","18,25","867.697,46","5,89","0,37","-0,02","254.460.000,78"
PSSA3,20.050000000000001,PORTO SEGURO,"7,06","8,40","1,38","0,31","100,00","5,88","7,28","10,40","3,28","-7,12","-0,95","0,61","5,51","-0,91","1,09","16,49","3,71","11,49","0,22","0,78","0,51","5,64","11,02","39.109.308,21","14,48","2,39","-0,98","12.964.050.503,00"
PTBL3,8.4199999999999999,PORTOBELLO,"8,65","5,49","3,33","0,55","43,25","15,10","11,31","4,11","6,09","1,98","1,61","0,62","6,18","-0,95","1,27","60,70","10,02","24,63","0,17","0,83","0,89","13,47","152,05","6.252.163,25","2,53","1,53","0,08","1.187.109.580,12"
PTCA11,0,PRATICA,,"0,00","0,00","0,00","45,17","16,98","11,16","0,00","1,22","1,22","0,58","0,00","0,00","0,00","1,52","31,12","11,25","19,02","0,36","0,64","1,01","25,03","37,52",,"17,14","5,33","0,00","0,00"
PTCA3,0,PRATICA,,"0,00","0,00","0,00","45,17","16,98","11,16","0,00","1,22","1,22","0,58","0,00","0,00","0,00","1,52","31,12","11,25","19,02","0,36","0,64","1,01","25,03","37,52",,"17,14","5,33","0,00","0,00"
PTNT3,11.67,PETTENATI,"1,74","7,88","1,64","0,73","16,49","12,18","9,04","5,85","4,78","1,32","0,37","0,71","3,02","-1,50","1,87","20,87","9,21","12,39","0,44","0,46","1,02","8,13","48,05","29.890,42","7,10","1,48","0,03","332.011.428,00"
PTNT4,4.5300000000000002,PETTENATI,"4,47","3,06","0,64","0,28","16,49","12,18","9,04","2,27","4,78","1,32","0,37","0,28","1,17","-0,58","1,87","20,87","9,21","12,39","0,44","0,46","1,02","8,13","48,05","81.565,17","7,10","1,48","0,01","332.011.428,00"
QUAL3,12.44,QUALICORP,"18,70","9,66","2,77","0,80","79,69","30,37","17,45","5,55","7,86","2,31","1,16","1,69","-2,58","-1,12","0,48","28,69","8,31","13,13","0,29","0,71","0,48","1,31","-2,00","43.606.333,21","4,49","1,29","-1,44","3.533.138.203,00"
QUSW3,0,QUALITY SOFT,,"0,00","0,00","0,00","27,56","13,07","7,38","0,00","0,74","0,74","0,24","0,00","0,00","0,00","1,25","18,30","8,94","16,75","0,49","0,51","1,21","16,77","89,75",,"67,90","12,43","0,00","0,00"
QVQP3B,0,524 PARTICIP,,"0,00","0,00","0,00",,,,"0,00","0,84","0,84","-0,97",,"0,00",,,"-114,29","-114,29","-116,07","1,00","0,00","0,00",,,,"0,00","0,00","0,00","0,00"
RADL3,19.02,RAIADROGASIL,"1,24","43,74","6,61","2,02","29,89","5,28","2,87","23,73","25,01","1,29","0,36","1,25","12,10","-4,46","1,44","15,12","4,62","16,86","0,31","0,69","1,61","16,47","9,92","162.496.756,50","2,88","0,43","1,28","31.419.708.600,00"
RAIL3,15.359999999999999,RUMO S.A.,"0,13","-322,39","1,94","0,64","27,76","20,17","-1,12","17,87","24,57","6,70","0,73","3,61","6,48","-0,81","1,87","-0,60","-0,20","4,90","0,33","0,67","0,18","11,53",,"165.569.882,75","7,93","-0,05","2,88","28.479.879.029,76"
RAIZ4,5.5999999999999996,RAIZEN,"1,18","17,58","2,83","0,55","6,47","3,75","2,02","9,50","14,84","5,34","1,59","0,36","7,18","-1,09","1,18","16,11","3,14","8,07","0,19","0,80","1,55",,,"82.899.954,63","1,98","0,32",,"57.974.053.110,40"
RANI3,7.1299999999999999,IRANI,"9,32","5,37","1,73","0,76","42,39","30,26","20,56","3,65","4,60","0,95","0,45","1,10","3,25","-1,18","2,93","32,23","14,12","20,35","0,44","0,56","0,69","15,63",,"10.754.352,04","4,12","1,33","0,03","1.830.415.275,55"
RANI4,5.5,IRANI,,"4,14","1,34","0,59","42,39","30,26","20,56","2,81","4,60","0,95","0,45","0,85","2,50","-0,91","2,93","32,23","14,12","20,35","0,44","0,56","0,69","15,63",,,"4,12","1,33","0,03","1.830.415.275,55"
RAPT3,8.9000000000000004,RANDON PART,"7,24","4,20","0,90","0,27","25,04","12,15","7,70","2,66","4,56","1,65","0,55","0,32","1,12","-0,70","1,66","21,31","6,51","13,54","0,31","0,69","0,84","28,12",,"271.858,71","9,94","2,12","0,84","3.201.316.801,32"
RAPT4,10.17,RANDON PART,"6,33","4,80","1,02","0,31","25,04","12,15","7,70","3,04","4,56","1,65","0,55","0,37","1,28","-0,80","1,66","21,31","6,51","13,54","0,31","0,69","0,84","28,12",,"25.487.618,88","9,94","2,12","0,96","3.201.316.801,32"
RCSL3,3.1499999999999999,RECRUSUL,,"-146,08","-5,80","3,61","13,47","1,40","-2,75","287,07","139,25","-5,43",,"4,01","53,47","-7,47","1,15","-3,97","-2,47","-2,02","-0,62","1,62","0,90",,,"6.533.136,13","-0,54","-0,02","-7,42","120.369.731,70"
RCSL4,0.80000000000000004,RECRUSUL,,"-37,10","-1,47","0,92","13,47","1,40","-2,75","72,91","139,25","-5,43",,"1,02","13,58","-1,90","1,15","-3,97","-2,47","-2,02","-0,62","1,62","0,90",,,"481.376,04","-0,54","-0,02","-1,88","120.369.731,70"
RDNI3,7.9900000000000002,RNI,"0,72","41,31","0,55","0,18","24,90","4,19","1,79","17,64","41,42","23,77","0,74","0,74","0,73","-0,35","2,03","1,33","0,44","0,51","0,33","0,67","0,24","4,17",,"86.918,67","14,58","0,19","0,09","349.720.765,92"
RDOR3,34.899999999999999,REDE D OR,"3,87","44,54","4,78","1,34","23,60","18,00","7,73","19,13","23,24","4,11","1,03","3,44","4,19","-2,29","4,25","10,73","3,00","7,83","0,28","0,72","0,39",,,"159.442.070,79","7,30","0,78","0,17","70.161.813.709,50"
RECV3,25.609999999999999,PETRORECSA,"0,64","10,76","3,05","1,26","43,36","37,30","39,49","11,39","11,23","-0,16","-0,04","4,25","-23,65","-1,65","0,81","28,37","11,72","13,59","0,41","0,59","0,30",,,"18.999.684,75","8,39","2,38",,"6.366.136.053,68"
REDE3,6.0800000000000001,REDE ENERGIA,"13,52","8,45","2,43","0,52","25,39","20,39","9,73","4,03","6,69","2,66","1,60","0,82","6,63","-0,74","1,36","28,71","6,16","17,08","0,21","0,79","0,63","15,06","56,90","8.415,05","2,51","0,72","0,13","12.830.766.113,92"
RENT3,52,LOCALIZA,"1,45","18,97","4,91","1,48","45,36","32,06","19,22","11,37","13,72","2,35","1,01","3,65","10,73","-2,09","1,87","25,87","7,78","11,88","0,30","0,70","0,40","19,68","38,41","342.325.182,67","10,60","2,74","0,32","39.440.266.840,00"
RLOG3,23.079999999999998,-,,"82,76","4,26","0,23","34,71","29,67","1,85","5,17","12,09","6,92","5,71","1,53","1,49","-0,31","2,64","5,15","0,28","5,46","0,05","0,71","0,15","50,58","4,37",,"5,41","0,28","-2,42","10.691.215.482,28"
RNEW11,4.75,RENOVA,,"5,65","-0,26","0,08","13,83","334,40","32,71","0,55","3,22","2,67",,"1,85","19,01","-0,11","1,01","-4,68","1,35","56,84","-0,29","1,29","0,04","-27,95",,"61.200,96","-17,96","0,84","0,15","173.343.409,33"
RNEW3,1.8400000000000001,RENOVA,,"6,56","-0,31","0,09","13,83","334,40","32,71","0,64","3,22","2,67",,"2,15","22,09","-0,13","1,01","-4,68","1,35","56,84","-0,29","1,29","0,04","-27,95",,"62.372,29","-5,99","0,28","0,18","173.343.409,33"
RNEW4,1.4099999999999999,RENOVA,,"5,03","-0,24","0,07","13,83","334,40","32,71","0,49","3,22","2,67",,"1,65","16,93","-0,10","1,01","-4,68","1,35","56,84","-0,29","1,29","0,04","-27,95",,"327.583,71","-5,99","0,28","0,14","173.343.409,33"
ROMI3,12.9,ROMI,"6,95","4,43","1,00","0,49","31,59","14,85","14,76","4,41","6,38","1,98","0,45","0,65","1,62","-1,22","2,03","22,50","11,10","13,28","0,49","0,51","0,75","18,71",,"6.484.024,42","12,94","2,91","0,12","946.007.593,80"
RPAD3,6.2000000000000002,ALFA HOLDING,,"27,12","0,51","0,50",,,,"29,17","30,24","-3,86","-0,07",,"8,65","-0,54","7,26","1,86","1,85","1,73","0,99","0,01","0,00",,"-17,54","6.464,00","12,27","0,23","-0,63","613.585.826,53"
RPAD5,8.4900000000000002,ALFA HOLDING,"6,64","37,14","0,69","0,69",,,,"39,95","30,24","-3,86","-0,07",,"11,85","-0,73","7,26","1,86","1,85","1,73","0,99","0,01","0,00",,"-17,54","23.042,90","12,27","0,23","-0,86","613.585.826,53"
RPAD6,4.1699999999999999,ALFA HOLDING,,"18,24","0,34","0,34",,,,"19,62","30,24","-3,86","-0,07",,"5,82","-0,36","7,26","1,86","1,85","1,73","0,99","0,01","0,00",,"-17,54","2.028,00","12,27","0,23","-0,42","613.585.826,53"
RPMG3,2.6000000000000001,PET MANGUINH,,"-0,49","-0,05","0,04","-2,78","-13,07","-16,36","-0,61","-0,61","0,00",,"0,08","-0,06","-0,64","0,55","-10,18","-8,62","8,13","-0,85","1,85","0,53","25,45",,"55.419,88","-52,53","-5,35","0,04","175.998.235,40"
RRRP3,43.590000000000003,3R PETROLEUM,,"-35,46","2,32","1,69","57,20","50,77","-25,67","17,93","14,76","-3,17","-0,41","9,10","7,41","-2,68","2,62","-6,55","-4,76","12,32","0,73","0,27","0,19",,,"175.129.573,75","18,76","-1,23","3,72","8.831.032.270,02"
RSID3,4.0499999999999998,ROSSI RESID,,"-0,42","-0,11","0,06","-23,02","-454,57","-320,93","-0,30","-2,50","-2,20",,"1,36","-0,07","-0,10","0,27","-26,31","-15,05","255,28","-0,57","1,57","0,05","-35,64",,"688.104,21","-36,23","-9,53","0,00","81.000.000,00"
RSUL3,0,RIOSULENSE,,"0,00","0,00","0,00","37,27","21,15","27,48","0,00","2,52","-0,09","-0,07","0,00","0,00","0,00","1,66","110,96","31,26","56,62","0,28","0,72","1,14","24,27",,,"13,73","15,23","0,00","178.032.000,00"
RSUL4,74.180000000000007,RIOSULENSE,"2,68","4,87","5,40","1,52","37,27","21,15","27,48","6,33","2,52","-0,09","-0,07","1,34","8,41","-2,79","1,66","110,96","31,26","56,62","0,28","0,72","1,14","24,27",,"174.267,92","13,73","15,23","0,00","178.032.000,00"
SANB11,32.859999999999999,SANTANDER BR,"11,71","8,36","1,16","0,13","34,30","22,14","14,81","5,59","5,59",,,"1,24",,"-0,13",,"13,91","1,55",,"0,11","0,89","0,10","0,22","14,98","115.151.240,29","28,27","3,93","2,32","123.200.865.167,93"
SANB3,15.550000000000001,SANTANDER BR,"11,78","7,91","1,10","0,12","34,30","22,14","14,81","5,29","5,59",,,"1,17",,"-0,13",,"13,91","1,55",,"0,11","0,89","0,10","0,22","14,98","1.071.726,63","14,13","1,97","2,20","123.200.865.167,93"
SANB4,17.309999999999999,SANTANDER BR,"11,64","8,80","1,22","0,14","34,30","22,14","14,81","5,89","5,59",,,"1,30",,"-0,14",,"13,91","1,55",,"0,11","0,89","0,10","0,22","14,98","1.412.694,17","14,13","1,97","2,45","123.200.865.167,93"
SAPR11,19.190000000000001,SANEPAR,"6,00","4,74","0,71","0,37","59,89","36,04","22,71","2,99","4,61","1,62","0,39","1,08","4,38","-0,45","1,94","15,07","7,83","11,65","0,52","0,48","0,34","8,40","14,30","23.464.300,50","26,86","4,05","0,20","5.800.006.781,92"
SAPR3,3.77,SANEPAR,"5,65","4,66","0,70","0,36","59,89","36,04","22,71","2,94","4,61","1,62","0,39","1,06","4,30","-0,44","1,94","15,07","7,83","11,65","0,52","0,48","0,34","8,40","14,30","1.140.182,33","5,37","0,81","0,19","5.800.006.781,92"
SAPR4,3.8700000000000001,SANEPAR,"6,06","4,78","0,72","0,37","59,89","36,04","22,71","3,01","4,61","1,62","0,39","1,09","4,41","-0,45","1,94","15,07","7,83","11,65","0,52","0,48","0,34","8,40","14,30","10.461.258,96","5,37","0,81","0,20","5.800.006.781,92"
SBFG3,22.550000000000001,GRUPO SBF,"0,52","11,01","2,46","0,77","46,02","7,87","9,74","13,62","17,52","3,90","0,71","1,07","3,76","-1,55","1,67","22,38","6,97","2,64","0,31","0,69","0,72","22,57",,"31.025.590,29","9,16","2,05","-0,02","5.479.605.396,10"
SBSP3,44.100000000000001,SABESP,"2,14","13,07","1,21","0,57","34,33","21,02","11,83","7,36","10,91","3,56","0,58","1,55","21,38","-0,65","1,28","9,25","4,34","7,58","0,47","0,53","0,37","6,69","-4,79","188.002.527,79","36,48","3,37","0,10","30.142.785.222,90"
SCAR3,33.850000000000001,SAO CARLOS,"0,42","56,71","1,24","0,57","81,36","54,07","11,96","12,55","23,40","10,85","1,07","6,78","-8,05","-0,62","0,55","2,19","1,00","3,93","0,46","0,54","0,08","-8,54","-14,68","209.111,88","27,31","0,60","-0,94","1.954.408.248,15"
SEDU3,23.800000000000001,-,,"-13,36","15,00","1,53","48,36","-15,73","-25,77","-21,89","-27,94","-6,05","4,15","3,44","57,90","-2,27","1,09","-112,29","-11,46","-13,15","0,10","0,90","0,44","12,49",,,"1,59","-1,78","0,01","6.238.667.820,00"
SEER3,8.5500000000000007,SER EDUCA,"1,44","20,97","0,75","0,36","54,10","12,61","3,73","6,20","7,02","0,82","0,10","0,78","5,55","-0,46","1,38","3,59","1,70","9,02","0,47","0,53","0,46","4,57","-25,61","5.551.866,79","11,37","0,41","-0,31","1.100.569.338,00"
SEQL3,9.75,SEQUOIA LOG,,"-46,93","2,38","0,69","17,82","3,35","-1,77","24,81","34,04","9,23","0,89","0,83","9,55","-1,02","1,29","-5,08","-1,48","4,01","0,29","0,71","0,84",,,"32.985.518,38","4,09","-0,21","-0,03","1.364.013.524,25"
SGPS3,4.0300000000000002,SPRINGS,,"-1,31","0,20","0,06","35,50","6,46","-8,93","1,81","8,89","7,08","0,79","0,12","-3,11","-0,12","0,96","-15,51","-4,80","5,53","0,31","0,69","0,54","-5,73",,"257.220,88","19,81","-3,07","0,03","201.500.000,00"
SHOW3,3.27,TIME FOR FUN,,"-3,44","1,63","0,41","28,99","-179,23","-204,67","-3,93","-2,29","1,64","-0,68","7,04","3,63","-1,05","1,22","-47,45","-11,84","-21,78","0,25","0,75","0,06","-47,60",,"2.799.660,38","2,00","-0,95","0,08","220.439.296,83"
SHUL3,111.89,SCHULZ,"0,17","196,50","42,53","18,44","22,21","14,47","11,45","155,44","71,63","1,66","0,45","22,49","43,14","-51,86","2,97","21,64","9,38","13,79","0,43","0,57","0,82","24,09","46,02","62.944,50","2,63","0,57","6,05","18.001.768.795,64"
SHUL4,4.4800000000000004,SCHULZ,"4,57","7,87","1,70","0,74","22,21","14,47","11,45","6,22","71,63","1,66","0,45","0,90","1,73","-2,08","2,97","21,64","9,38","13,79","0,43","0,57","0,82","24,09","46,02","1.655.686,29","2,63","0,57","0,24","18.001.768.795,64"
